,gender,Annual_income,income_type,Education,family_type,house_type,DAYS_BIRTH,working_day,work_phone,phone,email,occyp_type,begin_month,car_reality,credit
14551,F,72000.0,4,4,Married,With parents,-12138,-200,0,0,0,Cooking staff,-25.0,2,2.0
3261,F,72000.0,4,4,Single / not married,House / apartment,-18799,-1466,1,0,0,Cleaning staff,-2.0,0,1.0
8443,F,72000.0,4,4,Widow,House / apartment,-19923,-2078,1,1,0,Cleaning staff,-14.0,1,1.0
3790,F,76500.0,1,1,Married,House / apartment,-20833,0,0,0,0,none,-59.0,0,2.0
24066,F,76500.0,1,1,Married,House / apartment,-20833,0,0,0,0,none,-59.0,0,1.0
18200,F,76500.0,1,4,Married,House / apartment,-22302,0,0,0,0,none,-44.0,1,2.0
3342,F,76500.0,1,4,Married,House / apartment,-22302,0,0,0,0,none,-13.0,1,2.0
12509,F,76500.0,1,4,Married,House / apartment,-20612,0,0,0,0,none,-8.0,1,2.0
19129,F,76500.0,1,4,Married,House / apartment,-20592,0,0,1,0,none,-13.0,0,2.0
23844,F,76500.0,1,4,Married,House / apartment,-20592,0,0,1,0,none,-9.0,0,1.0
23548,F,76500.0,1,4,Married,House / apartment,-20592,0,0,1,0,none,-8.0,0,0.0
21888,F,76500.0,1,4,Married,House / apartment,-20592,0,0,1,0,none,-2.0,0,1.0
25108,F,76500.0,1,4,Single / not married,House / apartment,-22204,0,0,1,0,none,-23.0,1,2.0
21268,F,76500.0,1,4,Single / not married,House / apartment,-22204,0,0,1,0,none,-19.0,1,2.0
11329,F,76500.0,4,1,Civil marriage,House / apartment,-12506,-495,1,0,0,Accountants,-58.0,0,1.0
15617,F,76500.0,4,1,Married,House / apartment,-17743,-4205,0,0,0,none,0.0,2,0.0
19697,F,76500.0,4,1,Married,House / apartment,-15915,-785,1,1,0,Sales staff,-21.0,0,1.0
17200,F,76500.0,4,1,Married,House / apartment,-15915,-785,1,1,0,Sales staff,-11.0,0,1.0
24318,F,76500.0,4,4,Married,House / apartment,-17401,-1346,1,0,0,none,-2.0,0,1.0
7101,F,76500.0,4,4,Married,House / apartment,-16876,-97,1,0,0,none,-10.0,0,2.0
7131,F,76500.0,4,4,Married,House / apartment,-16876,-97,1,0,0,none,-10.0,0,2.0
14701,F,76500.0,4,4,Married,House / apartment,-16347,-1812,0,0,0,Sales staff,-43.0,1,2.0
15966,F,76500.0,4,4,Married,House / apartment,-10080,-735,1,0,0,Sales staff,-8.0,0,2.0
24293,F,76500.0,4,4,Married,House / apartment,-10080,-735,1,0,0,Sales staff,-8.0,0,2.0
22102,F,76500.0,4,4,Widow,House / apartment,-19709,-3271,0,0,0,Sales staff,-12.0,0,2.0
22343,F,81000.0,0,2,Married,House / apartment,-17493,-2347,1,0,0,none,-59.0,1,0.0
3235,F,81000.0,0,2,Married,House / apartment,-17493,-2347,1,0,0,none,-19.0,1,2.0
15543,F,81000.0,0,2,Married,House / apartment,-17493,-2347,1,0,0,none,-19.0,1,2.0
18470,F,81000.0,0,4,Married,House / apartment,-17926,-399,0,0,0,Cooking staff,-38.0,1,2.0
7430,F,81000.0,0,4,Married,House / apartment,-15580,-3503,0,0,0,Sales staff,-56.0,1,2.0
25359,F,81000.0,0,4,Single / not married,House / apartment,-9866,-2583,0,0,0,Medicine staff,-42.0,1,2.0
25411,F,81000.0,1,1,Single / not married,House / apartment,-23291,0,0,1,0,none,-45.0,0,2.0
19153,F,81000.0,1,4,Civil marriage,House / apartment,-21967,0,0,0,0,none,-26.0,1,2.0
9714,F,81000.0,1,4,Married,House / apartment,-20848,0,0,0,0,none,-57.0,1,2.0
23807,F,81000.0,2,1,Married,House / apartment,-11256,-2691,0,0,0,Core staff,-45.0,2,1.0
13041,F,81000.0,4,1,Married,House / apartment,-12615,-843,0,0,0,Cooking staff,-16.0,2,1.0
23833,F,81000.0,4,1,Married,House / apartment,-10648,-1393,1,1,0,Core staff,-31.0,2,2.0
9803,F,81000.0,4,4,Civil marriage,With parents,-11978,-2780,0,1,0,Sales staff,-44.0,0,2.0
9220,F,81000.0,4,4,Civil marriage,With parents,-11978,-2780,0,1,0,Sales staff,-12.0,0,0.0
19736,F,81000.0,4,4,Married,House / apartment,-19738,-286,1,0,0,Sales staff,-11.0,1,2.0
24889,F,81000.0,4,4,Married,House / apartment,-16435,-9745,0,1,0,none,-7.0,1,0.0
16521,F,81000.0,4,4,Married,House / apartment,-15062,-2014,1,0,0,none,0.0,1,0.0
13366,F,81000.0,4,4,Married,House / apartment,-9172,-2175,1,0,0,Laborers,-3.0,0,1.0
22033,F,81000.0,4,4,Married,Municipal apartment,-15749,-6367,1,1,0,Cleaning staff,-43.0,1,2.0
15871,F,81000.0,4,4,Single / not married,House / apartment,-17876,-377,1,1,0,Private service staff,-50.0,0,2.0
22354,F,85500.0,1,4,Married,House / apartment,-21531,0,0,0,0,none,-19.0,1,1.0
21843,F,85500.0,4,4,Separated,House / apartment,-21708,-15072,0,0,0,none,-10.0,1,2.0
10645,F,90000.0,0,4,Married,House / apartment,-19482,-2878,0,0,0,Laborers,-31.0,1,2.0
13181,F,90000.0,0,4,Married,House / apartment,-18744,-3141,0,1,0,Laborers,-21.0,1,2.0
13971,F,90000.0,0,4,Married,House / apartment,-16725,-5618,0,0,0,Low-skill Laborers,-42.0,1,0.0
6040,F,90000.0,0,4,Married,House / apartment,-14960,-2865,0,0,0,Laborers,-50.0,1,2.0
4724,F,90000.0,0,4,Married,House / apartment,-14116,-2269,0,0,0,Medicine staff,-39.0,2,2.0
12790,F,90000.0,0,4,Separated,House / apartment,-19867,-720,0,0,1,none,-34.0,1,0.0
22138,F,90000.0,0,4,Single / not married,House / apartment,-10525,-2135,1,1,0,Sales staff,-9.0,1,1.0
25458,F,90000.0,0,4,Single / not married,With parents,-7757,-900,0,0,0,Sales staff,-13.0,0,1.0
19057,F,90000.0,1,1,Married,House / apartment,-21452,0,0,0,0,none,-9.0,2,2.0
23137,F,90000.0,1,4,Civil marriage,House / apartment,-23236,0,0,0,0,none,-14.0,1,2.0
25619,F,90000.0,1,4,Civil marriage,House / apartment,-20032,0,0,0,0,none,-8.0,1,1.0
19162,F,90000.0,1,4,Married,House / apartment,-24665,0,0,0,0,none,-52.0,1,2.0
21722,F,90000.0,1,4,Married,House / apartment,-24665,0,0,0,0,none,-49.0,1,2.0
1056,F,90000.0,1,4,Married,House / apartment,-24665,0,0,0,0,none,-35.0,1,2.0
17578,F,90000.0,1,4,Married,House / apartment,-23120,0,0,0,0,none,-4.0,1,1.0
18017,F,90000.0,1,4,Married,House / apartment,-22123,0,0,0,1,none,-47.0,1,1.0
26168,F,90000.0,1,4,Married,House / apartment,-22123,0,0,0,1,none,-12.0,1,1.0
17288,F,90000.0,1,4,Married,House / apartment,-21529,0,0,1,0,none,-11.0,1,1.0
24742,F,90000.0,1,4,Married,House / apartment,-21529,0,0,1,0,none,-11.0,1,2.0
7704,F,90000.0,1,4,Married,House / apartment,-21454,0,0,0,0,none,-45.0,2,2.0
21936,F,90000.0,1,4,Married,House / apartment,-20495,0,0,1,0,none,-39.0,0,2.0
2277,F,90000.0,1,4,Married,House / apartment,-18309,0,0,0,0,none,0.0,0,1.0
26133,F,90000.0,1,4,Separated,House / apartment,-20451,0,0,0,0,none,-56.0,1,0.0
8306,F,90000.0,1,4,Separated,House / apartment,-20451,0,0,0,0,none,-28.0,1,1.0
22437,F,90000.0,1,4,Single / not married,Co-op apartment,-23664,0,0,0,0,none,-4.0,2,0.0
5303,F,90000.0,1,4,Single / not married,House / apartment,-23262,0,0,1,0,none,-35.0,1,1.0
21709,F,90000.0,1,4,Single / not married,House / apartment,-23262,0,0,1,0,none,-35.0,1,1.0
6596,F,90000.0,1,4,Single / not married,House / apartment,-23130,0,0,1,0,none,-40.0,0,2.0
24280,F,90000.0,1,4,Single / not married,House / apartment,-22731,0,0,0,0,none,-38.0,1,2.0
25649,F,90000.0,1,4,Single / not married,House / apartment,-22062,0,0,1,0,none,-49.0,1,2.0
7576,F,90000.0,1,4,Single / not married,House / apartment,-22025,0,0,0,0,none,-14.0,1,2.0
7844,F,90000.0,1,4,Widow,House / apartment,-21973,0,0,0,0,none,-2.0,2,1.0
16479,F,90000.0,1,4,Widow,House / apartment,-21688,0,0,1,0,none,-41.0,0,2.0
16935,F,90000.0,1,4,Widow,House / apartment,-21056,0,0,1,0,none,-51.0,1,2.0
22984,F,90000.0,1,4,Widow,House / apartment,-20950,0,0,0,0,none,-13.0,0,2.0
5468,F,90000.0,2,1,Civil marriage,Office apartment,-19872,-4509,1,0,0,none,-55.0,0,1.0
18387,F,90000.0,2,1,Married,House / apartment,-12849,-543,1,1,0,Core staff,-17.0,1,1.0
22569,F,90000.0,2,1,Married,House / apartment,-12849,-543,1,1,0,Core staff,-2.0,1,0.0
18788,F,90000.0,2,4,Civil marriage,House / apartment,-15945,-3673,1,1,0,Core staff,-26.0,1,0.0
14757,F,90000.0,2,4,Civil marriage,House / apartment,-12724,-2635,1,0,0,Core staff,-29.0,1,2.0
12799,F,90000.0,2,4,Married,House / apartment,-17715,-6884,1,1,0,Medicine staff,-9.0,2,0.0
10993,F,90000.0,2,4,Separated,House / apartment,-14271,-302,0,0,0,none,-51.0,1,2.0
26067,F,90000.0,2,4,Separated,House / apartment,-14271,-302,0,0,0,none,-37.0,1,2.0
23136,F,90000.0,4,1,Married,House / apartment,-19828,-5525,0,1,0,none,-46.0,0,2.0
15881,F,90000.0,4,1,Married,House / apartment,-12496,-597,0,0,0,none,-51.0,1,1.0
18383,F,90000.0,4,1,Married,House / apartment,-12496,-597,0,0,0,none,-37.0,1,0.0
8783,F,90000.0,4,1,Married,House / apartment,-11388,-4167,0,0,0,High skill tech staff,-2.0,0,1.0
10281,F,90000.0,4,1,Married,House / apartment,-11351,-1172,1,0,0,Laborers,-26.0,2,1.0
14779,F,90000.0,4,1,Married,House / apartment,-10520,-2378,0,0,0,Laborers,-55.0,1,2.0
24444,F,90000.0,4,1,Married,House / apartment,-10520,-2378,0,0,0,Laborers,-55.0,1,2.0
10749,F,90000.0,4,1,Separated,House / apartment,-21887,-1526,0,0,0,Core staff,-39.0,0,1.0
7123,F,90000.0,4,1,Separated,House / apartment,-21887,-1526,0,0,0,Core staff,-14.0,0,2.0
20901,F,90000.0,4,1,Separated,House / apartment,-21887,-1526,0,0,0,Core staff,-3.0,0,1.0
5834,F,90000.0,4,1,Single / not married,House / apartment,-21532,-4630,0,0,0,Laborers,-57.0,1,0.0
13318,F,90000.0,4,2,Married,Rented apartment,-12383,-3480,0,0,0,Laborers,-6.0,1,1.0
18597,F,90000.0,4,4,Civil marriage,House / apartment,-16569,-517,0,0,0,Laborers,-35.0,1,2.0
26258,F,90000.0,4,4,Civil marriage,House / apartment,-11639,-3333,1,0,0,Waiters/barmen staff,-28.0,0,2.0
24771,F,90000.0,4,4,Married,House / apartment,-20074,-221,0,0,0,Medicine staff,-29.0,1,2.0
16068,F,90000.0,4,4,Married,House / apartment,-19452,-1218,1,0,0,Sales staff,-18.0,1,1.0
10430,F,90000.0,4,4,Married,House / apartment,-19452,-1218,1,0,0,Sales staff,-8.0,1,1.0
20775,F,90000.0,4,4,Married,House / apartment,-19205,-1552,1,1,0,none,-33.0,1,2.0
4505,F,90000.0,4,4,Married,House / apartment,-19205,-1552,1,1,0,none,-28.0,1,1.0
25403,F,90000.0,4,4,Married,House / apartment,-18975,-751,1,1,0,Core staff,-54.0,1,1.0
15686,F,90000.0,4,4,Married,House / apartment,-18728,-9325,0,0,0,Cooking staff,-38.0,0,2.0
26342,F,90000.0,4,4,Married,House / apartment,-18728,-9325,0,0,0,Cooking staff,-11.0,0,1.0
21178,F,90000.0,4,4,Married,House / apartment,-18465,-5336,0,0,0,Laborers,-18.0,1,1.0
20104,F,90000.0,4,4,Married,House / apartment,-17355,-3273,1,1,0,Secretaries,-25.0,0,2.0
22057,F,90000.0,4,4,Married,House / apartment,-16280,-3694,0,0,1,Sales staff,-34.0,1,2.0
13949,F,90000.0,4,4,Married,House / apartment,-16118,-1959,0,1,0,none,-21.0,0,2.0
16997,F,90000.0,4,4,Married,House / apartment,-16118,-1959,0,1,0,none,-10.0,0,0.0
16271,F,90000.0,4,4,Married,House / apartment,-16115,-985,0,0,0,Sales staff,-6.0,0,2.0
25535,F,90000.0,4,4,Married,House / apartment,-14024,-369,0,1,0,none,-31.0,1,0.0
3721,F,90000.0,4,4,Married,House / apartment,-13951,-1101,1,0,0,Sales staff,-4.0,1,1.0
23201,F,90000.0,4,4,Married,House / apartment,-13352,-2561,1,1,0,none,-25.0,1,2.0
22218,F,90000.0,4,4,Married,House / apartment,-11863,-96,1,0,0,none,-46.0,0,0.0
4092,F,90000.0,4,4,Married,House / apartment,-11863,-96,1,0,0,none,-25.0,0,2.0
17926,F,90000.0,4,4,Married,House / apartment,-11863,-96,1,0,0,none,-25.0,0,0.0
19358,F,90000.0,4,4,Married,House / apartment,-11762,-716,0,0,0,none,-39.0,1,0.0
7715,F,90000.0,4,4,Married,House / apartment,-9540,-959,0,0,1,Laborers,-27.0,1,2.0
25264,F,90000.0,4,4,Married,Municipal apartment,-19120,-2567,0,1,0,Laborers,-42.0,0,2.0
21143,F,90000.0,4,4,Married,With parents,-13847,-366,0,1,0,Medicine staff,-24.0,1,0.0
20902,F,90000.0,4,4,Married,With parents,-13847,-366,0,1,0,Medicine staff,-9.0,1,0.0
25554,F,90000.0,4,4,Married,With parents,-10092,-976,0,0,0,none,-21.0,0,2.0
14013,F,90000.0,4,4,Married,With parents,-10092,-976,0,0,0,none,-11.0,0,1.0
24568,F,90000.0,4,4,Separated,House / apartment,-11682,-678,0,0,0,Sales staff,-22.0,0,2.0
24603,F,90000.0,4,4,Single / not married,House / apartment,-13827,-879,0,1,0,Laborers,-7.0,1,2.0
8211,F,90000.0,4,4,Single / not married,House / apartment,-12157,-1493,0,0,0,Core staff,-12.0,0,2.0
14790,F,90000.0,4,4,Widow,House / apartment,-17710,-1772,0,0,0,Cooking staff,-8.0,1,2.0
25396,F,94500.0,1,1,Married,House / apartment,-21373,0,0,1,0,none,-42.0,0,2.0
25833,F,94500.0,1,1,Single / not married,House / apartment,-22481,0,0,0,0,none,-47.0,1,2.0
22651,F,94500.0,1,1,Single / not married,House / apartment,-22481,0,0,0,0,none,-33.0,1,2.0
6609,F,94500.0,1,4,Married,House / apartment,-23408,0,0,0,0,none,-38.0,1,2.0
25717,F,94500.0,1,4,Married,House / apartment,-22140,0,0,0,0,none,-21.0,1,2.0
11028,F,94500.0,1,4,Widow,House / apartment,-24302,0,0,0,0,none,-2.0,1,0.0
18618,F,94500.0,1,4,Widow,House / apartment,-24302,0,0,0,0,none,-2.0,1,0.0
11570,F,94500.0,4,1,Separated,House / apartment,-14559,-1472,0,1,1,Laborers,-45.0,1,2.0
24699,F,94500.0,4,4,Single / not married,Rented apartment,-17836,-2561,0,0,0,Security staff,-43.0,0,2.0
20795,F,95850.0,0,4,Married,House / apartment,-18931,-6678,1,0,0,Laborers,-49.0,1,2.0
20767,F,99000.0,0,4,Married,With parents,-9538,-827,0,0,0,Medicine staff,-44.0,0,2.0
9620,F,99000.0,0,4,Single / not married,House / apartment,-16378,-370,1,0,0,Core staff,-17.0,0,2.0
17293,F,99000.0,0,4,Single / not married,House / apartment,-16378,-370,1,0,0,Core staff,-17.0,0,1.0
5771,F,99000.0,0,4,Widow,House / apartment,-21678,-1239,0,0,0,Security staff,-10.0,1,2.0
6559,F,99000.0,1,4,Married,House / apartment,-23585,0,0,0,0,none,-4.0,1,2.0
10528,F,99000.0,1,4,Married,House / apartment,-22799,0,0,0,0,none,-27.0,1,2.0
22444,F,99000.0,1,4,Married,House / apartment,-22799,0,0,0,0,none,-18.0,1,2.0
16943,F,99000.0,2,1,Married,House / apartment,-18563,-8284,1,1,0,Laborers,-44.0,1,2.0
18389,F,99000.0,2,4,Married,House / apartment,-14360,-4660,0,1,1,Cleaning staff,-38.0,0,2.0
7038,F,99000.0,4,1,Married,House / apartment,-14661,-5521,0,0,0,none,-23.0,0,1.0
19958,F,99000.0,4,1,Married,House / apartment,-14661,-5521,0,0,0,none,-22.0,0,1.0
10726,F,99000.0,4,1,Married,House / apartment,-14661,-5521,0,0,0,none,-2.0,0,1.0
16193,F,99000.0,4,4,Married,House / apartment,-20064,-3360,1,1,0,Sales staff,-24.0,1,2.0
25739,F,99000.0,4,4,Married,House / apartment,-15626,-422,0,0,0,none,-48.0,0,2.0
13248,F,99000.0,4,4,Married,Municipal apartment,-11039,-2809,0,0,0,Laborers,-25.0,1,1.0
25010,F,99000.0,4,4,Separated,House / apartment,-18068,-8870,0,0,0,Medicine staff,-30.0,1,2.0
23707,F,101250.0,1,4,Widow,House / apartment,-22059,0,0,1,0,none,-3.0,1,0.0
12317,F,101250.0,1,4,Widow,House / apartment,-22059,0,0,1,0,none,-2.0,1,1.0
1917,F,103500.0,0,1,Civil marriage,With parents,-9088,-2174,0,0,0,none,-43.0,1,2.0
9346,F,103500.0,0,1,Civil marriage,With parents,-9088,-2174,0,0,0,none,-43.0,1,2.0
17796,F,103500.0,0,4,Married,House / apartment,-18292,-638,1,1,0,Laborers,-28.0,1,2.0
17764,F,103500.0,1,4,Married,House / apartment,-24346,0,0,0,0,none,-57.0,0,2.0
20896,F,103500.0,1,4,Widow,House / apartment,-23751,0,0,0,0,none,-15.0,1,0.0
20162,F,103500.0,2,4,Civil marriage,House / apartment,-10961,-473,0,0,0,Cooking staff,-40.0,1,2.0
6096,F,103500.0,4,2,Married,House / apartment,-11078,-3960,0,0,0,Sales staff,-47.0,0,2.0
22723,F,103500.0,4,4,Married,House / apartment,-22466,-12870,1,1,0,Managers,-17.0,1,1.0
17643,F,103500.0,4,4,Married,House / apartment,-22466,-12870,1,1,0,Managers,-14.0,1,1.0
5982,F,103500.0,4,4,Married,House / apartment,-20292,-1691,0,0,0,Laborers,-1.0,1,0.0
22170,F,103500.0,4,4,Married,House / apartment,-20292,-1691,0,0,0,Laborers,-1.0,1,0.0
10136,F,103500.0,4,4,Married,House / apartment,-12182,-4887,1,0,0,none,-28.0,1,2.0
12018,F,103500.0,4,4,Married,House / apartment,-12182,-4887,1,0,0,none,-10.0,1,2.0
18472,F,103500.0,4,4,Married,House / apartment,-11720,-1191,0,0,0,Sales staff,-4.0,0,1.0
21752,F,103500.0,4,4,Married,House / apartment,-11720,-1191,0,0,0,Sales staff,-4.0,0,2.0
15220,F,103500.0,4,4,Married,House / apartment,-10396,-564,0,0,1,IT staff,-14.0,1,2.0
19741,F,103500.0,4,4,Single / not married,House / apartment,-17461,-2134,0,0,0,Sales staff,-30.0,1,2.0
24885,F,108000.0,0,4,Married,House / apartment,-15803,-9029,0,1,0,High skill tech staff,-4.0,0,1.0
19040,F,108000.0,1,4,Married,House / apartment,-23044,0,0,1,0,none,-59.0,1,0.0
5585,F,108000.0,4,4,Married,House / apartment,-13012,-1342,0,1,0,Sales staff,-25.0,1,1.0
7302,F,108000.0,4,4,Married,House / apartment,-13012,-1342,0,1,0,Sales staff,-25.0,1,1.0
